step,time_s,satellite,lat_deg,lon_deg,alt_km,battery,sensing,az_cmd_deg,el_cmd_deg
1,60,54,27.5807,-27.0479,572.377,0.91,1,-37.1194,-16.4384
1,60,55,0.151465,-2.74229,572.377,1,0,30.0204,-0.847766
1,60,56,-27.3045,21.4986,572.377,1,0,-26.7511,3.8805
1,60,57,-48.1477,59.4764,572.377,0.91,1,-11.6642,-24.1851
1,60,58,-48.2882,114.739,572.377,1,0,26.9402,-6.31541
1,60,59,-27.5807,152.952,572.377,0.91,1,-34.05,-7.54984
1,60,60,-44.5477,58.8282,525.845,1,0,25.5537,-1.90201
1,60,61,-54.7672,113.794,525.845,0.91,1,-37.7491,12.6823
1,60,62,-38.3257,161.853,525.845,0.91,1,-23.5096,-22.6474
1,60,63,-10.7532,-172.247,525.845,0.91,1,-32.3995,22.973
1,60,64,18.5566,-151.058,525.845,0.91,1,-34.7504,-18.3373
1,60,65,44.5477,-121.172,525.845,0.91,1,25.8971,1.06264
1,60,66,54.7672,-66.2059,525.845,0.91,1,23.5315,-5.35979
1,60,67,38.3257,-18.1465,525.845,1,0,30.2557,-0.847766
1,60,68,10.7532,7.75269,525.845,0.91,1,-34.1749,7.12806
1,60,69,-18.5566,28.9421,525.845,0.91,1,-27.4085,-14.2312
1,60,70,-32.1096,47.2356,560.918,1,0,-21.2074,9.83807
1,60,71,-61.8397,78.8581,560.918,1,0,30.0779,-0.847766
1,60,72,-63.5042,163.411,560.918,1,0,30.0779,-0.847766
1,60,73,-34.5035,-161.832,560.918,0.91,1,6.62295,-23.563
1,60,74,-1.2365,-147.094,560.918,1,0,30.0779,-0.847766
1,60,75,32.1096,-132.764,560.918,0.91,1,-35.1572,-15.01
1,60,76,61.8397,-101.142,560.918,0.91,1,30.7533,7.71372
1,60,77,63.5042,-16.5889,560.918,1,0,-14.811,-13.279
1,60,78,34.5035,18.1678,560.918,0.91,1,-22.474,-0.0219472
1,60,79,1.23646,32.9056,560.918,0.91,1,-31.9852,-23.8417
1,60,80,-52.9752,-172.53,515.248,0.91,1,-33.2897,-24.3869
1,60,81,-24.831,-142.629,515.248,1,0,24.4694,18.9893
1,60,82,6.8282,-125.031,515.248,1,0,26.9566,1.3785
1,60,83,37.7571,-104.725,515.248,0.91,1,-38.5872,12.7782
1,60,84,60.6749,-60.0113,515.248,1,0,30.3098,-0.847766
1,60,85,52.9752,7.46979,515.248,0.91,1,36.3192,11.3445
1,60,86,24.831,37.3711,515.248,0.91,1,39.4379,0.896876
1,60,87,-6.82819,54.9685,515.248,0.91,1,37.2809,17.0975
1,60,88,-37.7571,75.275,515.248,1,0,30.3098,-0.847766
1,60,89,-60.6749,119.989,515.248,1,0,27.4025,10.6371
1,60,90,35.1968,-69.7053,534.998,0.91,1,21.8536,-17.572
1,60,91,47.0779,-23.7572,534.998,1,0,30.2091,-0.847766
1,60,92,37.4788,23.9812,534.998,0.91,1,-30.8213,-20.2048
1,60,93,14.6102,55.3698,534.998,1,0,6.32238,18.2909
1,60,94,-11.5564,80.3231,534.998,1,0,30.2091,-0.847766
1,60,95,-35.1968,110.295,534.998,1,0,-26.1789,8.87264
1,60,96,-47.0779,156.243,534.998,1,0,-19.4816,-14.648
1,60,97,-37.4788,-156.019,534.998,0.91,1,27.0117,24.1563
1,60,98,-14.6102,-124.63,534.998,0.91,1,34.9995,1.94995
1,60,99,11.5564,-99.6769,534.998,0.91,1,-35.2526,-17.3202
1,60,100,63.1343,-87.4232,538.452,0.91,1,-37.9086,9.30616
1,60,101,80.3834,71.6578,538.452,1,0,30.1915,-0.847766
1,60,102,44.6866,84.7751,538.452,0.91,1,-29.7451,-22.2015
1,60,103,8.73704,86.9734,538.452,1,0,30.1915,-0.847766
1,60,104,-27.2226,88.7308,538.452,1,0,30.1915,-0.847766
1,60,105,-63.1343,92.5768,538.452,1,0,30.1915,-0.847766
1,60,106,-80.3834,-108.342,538.452,0.91,1,36.9945,-1.61416
1,60,107,-44.6866,-95.2249,538.452,1,0,-8.17043,18.4972
1,60,108,-8.73705,-93.0266,538.452,1,0,30.1915,-0.847766
1,60,109,27.2226,-91.2692,538.452,1,0,30.1915,-0.847766
1,60,110,2.84901,-72.4465,500.054,0.91,1,27.4451,-16.849
