step,time_s,satellite,az_deg,el_deg,boresight_lat_deg,boresight_lon_deg,corner1_lat_deg,corner1_lon_deg,corner2_lat_deg,corner2_lon_deg,corner3_lat_deg,corner3_lon_deg,corner4_lat_deg,corner4_lon_deg,targets_hit
4,240,25,29.5809,-14.3998,18.7779,164.73,18.525,164.229,18.1976,165.118,19.0275,165.275,19.2829,164.374,1
4,240,28,25.7169,-22.1789,51.493,-37.3128,51.9526,-36.8985,51.8753,-38.2694,51.0348,-37.7723,51.1684,-36.4713,1
4,240,30,-40.1527,-5.67195,30.1826,20.9363,30.6429,21.7709,30.6163,20.3246,29.7869,20.2288,29.6932,21.6421,1
4,240,31,12.5964,20.8479,-7.85948,13.184,-7.47855,13.5484,-7.49331,12.8506,-8.28823,12.8007,-8.24611,13.5055,1
4,240,35,12.7194,-23.7795,-31.9223,-162.394,-32.3313,-162.762,-32.3734,-161.931,-31.539,-162.014,-31.5257,-162.829,1
4,240,39,-40.2056,3.95218,64.5568,30.0841,64.797,31.8506,65.1266,29.0438,64.3212,28.5833,63.8829,31.2454,1
4,240,40,26.4049,12.5237,36.7508,9.89469,37.3577,9.78129,36.5987,9.18224,36.0755,10.0341,36.8736,10.5761,1
4,240,41,31.3,-21.7928,13.7947,35.4172,14.3899,35.5316,13.9444,34.5341,13.1742,35.2581,13.6851,36.1747,3
4,240,44,-26.7131,-12.3898,-49.4515,139.009,-48.961,138.271,-49.8701,138.432,-49.8945,139.67,-48.9932,139.588,1
4,240,45,24.3319,-8.23569,-41.7655,-168.495,-41.658,-169.213,-42.3929,-168.599,-41.8862,-167.736,-41.1921,-168.411,1
4,240,49,23.2536,-24.1573,49.7661,-42.9028,50.1482,-43.5559,49.2783,-43.7942,49.3511,-42.2919,50.2053,-42.1311,1
4,240,50,-22.171,-23.5789,15.0639,-83.9451,14.8845,-84.7165,14.4815,-83.8849,15.1966,-83.2601,15.6465,-84.0425,1
4,240,52,33.5318,-12.1301,48.1344,-2.32849,48.6568,-2.90166,47.5383,-3.20769,47.5466,-1.74352,48.6547,-1.55884,5
4,240,53,37.8613,14.3748,33.782,46.8027,34.6066,46.696,33.4904,45.9272,32.8064,46.9445,34.0105,47.6039,3
4,240,55,-34.1596,7.00447,-13.8717,102.731,-13.1595,102.903,-13.8706,102.001,-14.5173,102.588,-13.8756,103.562,1
4,240,56,26.4094,-13.0209,-41.8689,125.822,-41.2869,125.782,-41.9417,124.862,-42.4845,125.838,-41.7851,126.677,1
4,240,57,38.9467,-3.57168,-55.8975,179.532,-55.3038,178.737,-56.6286,178.584,-56.5792,-179.545,-55.2632,-179.679,1
4,240,59,-31.4998,0.279711,-10.359,-105.927,-10.3491,-106.652,-10.9937,-105.809,-10.3628,-105.273,-9.65531,-106.06,1
4,240,61,30.4708,-0.654227,-49.294,-103.424,-49.1378,-104.276,-49.9331,-103.517,-49.4623,-102.481,-48.7151,-103.339,1
4,240,64,39.2742,-9.586,31.8449,-25.103,31.9872,-25.8757,30.9649,-25.0475,31.6572,-24.236,32.5927,-25.1587,1
4,240,68,-14.9198,-23.1987,-4.90902,127.63,-4.28892,127.652,-4.7949,127.12,-5.46805,127.59,-4.99424,128.138,1
4,240,72,31.8334,14.9037,-45.333,-38.8959,-45.5509,-39.8551,-45.9185,-38.4523,-45.0581,-37.8106,-44.7775,-39.2683,1
4,240,77,-22.7022,-7.95083,46.9421,138.125,47.5432,138.385,47.0615,137.341,46.3916,137.882,46.8218,138.951,8
4,240,81,32.1363,18.6944,-1.9092,16.9913,-2.13511,16.3506,-2.44844,17.2712,-1.6287,17.7276,-1.39215,16.7554,2
4,240,82,1.33685,-22.3937,27.5927,30.6344,27.4197,30.0831,27.0702,30.7066,27.7344,31.1661,28.0815,30.5421,1
4,240,84,36.6581,-12.9843,55.9939,130.461,56.5951,130.228,55.6588,129.117,55.3224,130.669,56.279,131.623,2
4,240,85,37.127,-8.30748,32.1288,170.284,32.7222,170.524,32.1957,169.349,31.4686,169.999,32.0708,171.091,1
4,240,86,31.4928,-24.0808,3.06386,-170.282,3.59339,-170.062,3.40869,-171.058,2.52507,-170.55,2.79115,-169.614,1
4,240,89,36.3609,-4.70702,-61.9436,-42.0106,-61.6808,-43.2089,-62.6809,-42.3037,-62.2362,-40.6495,-61.2981,-41.7689,1
4,240,90,16.2677,21.1948,45.0263,128.381,45.3189,127.694,44.5975,127.964,44.7167,129.147,45.4403,128.836,5
4,240,92,19.432,22.8724,17.7756,-149.297,18.3707,-149.373,17.7406,-149.859,17.1114,-149.188,17.7794,-148.734,1
4,240,97,37.1064,-4.4883,-23.5587,32.6936,-23.4461,31.9838,-24.3518,32.7734,-23.6934,33.4945,-22.8684,32.6237,2
5,300,0,33.9158,-18.1885,-30.7926,-88.8078,-30.2582,-88.3254,-30.2794,-89.7511,-31.3449,-89.3701,-31.2085,-87.9858,1
5,300,1,-26.6763,-11.7129,-61.6837,-56.161,-60.945,-56.0443,-61.6748,-57.4405,-62.3445,-56.2937,-61.6608,-54.8041,1
5,300,2,21.4999,-22.2205,-71.885,41.4553,-71.8537,39.5292,-72.6465,41.0588,-71.931,43.4024,-71.2073,41.7102,2
5,300,5,-19.4376,24.3161,34.8844,94.8369,34.6198,94.18,34.2501,95.1396,35.1791,95.481,35.6105,94.522,2
